koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_disposition,is_exoplanet
1.433339604,1.3665,305.2,2.08,1677.0,1873.33,6077.0,4.471,0.999,FALSE POSITIVE,0
1.89125855,5.415,67.9,0.81,1671.0,1839.74,6569.0,4.41,0.927,FALSE POSITIVE,0
8.1280933,3.727,224.1,1.39,875.0,138.51,5831.0,4.517,0.921,CONFIRMED,1
11.12827427,2.6118,6057.0,4.04,408.0,6.52,3640.0,4.744,0.503,CONFIRMED,1
7.38443269,5.7351,349.8,2.42,1042.0,278.67,5814.0,4.269,1.248,CONFIRMED,1
3.629442796,5.63,426.6,3.28,1434.0,1001.35,6506.0,4.336,1.217,FALSE POSITIVE,0
23.66834635,5.8297,449.4,2.32,668.0,47.11,5979.0,4.394,1.005,CONFIRMED,1
3.177414601,1.5262,1134.3,2.65,997.0,233.26,5303.0,4.63,0.708,CONFIRMED,1
11.37936986,2.6255,1023.5,3.95,806.0,99.68,5714.0,4.428,1.015,CONFIRMED,1
2.845739012,11.9327,24391.8,44.7,1294.0,663.42,5982.0,4.493,0.96,FALSE POSITIVE,0
322.221973,7.531,465.6,2.18,277.0,1.4,6026.0,4.437,1.006,CANDIDATE,0
4.128795314,2.771,154870.0,52.0,1244.0,565.91,5949.0,4.311,1.083,FALSE POSITIVE,0
7.363572395,5.7545,129696.0,82.22,1287.0,649.25,6793.0,4.208,1.508,FALSE POSITIVE,0
147.388124,8.781,909.2,3.03,356.0,3.78,6046.0,4.478,1.007,CANDIDATE,0
3.036208739,0.9324,1820.5,1.4,520.0,17.31,3464.0,4.923,0.328,CONFIRMED,1
1.039046871,1.689,24.4,0.48,1774.0,2348.45,5689.0,4.422,0.976,FALSE POSITIVE,0
94.67782,2.215,287.0,1.46,353.0,3.67,5360.0,4.503,0.866,CANDIDATE,0
21.86965714,5.5177,125.5,1.51,790.0,92.0,6214.0,4.238,1.297,CONFIRMED,1
549.42772,6.09,719.1,2.64,223.0,0.58,5957.0,4.498,0.971,CANDIDATE,0
0.584310213,2.1801,809.4,23.09,2053.0,4190.91,5783.0,4.539,0.88,FALSE POSITIVE,0
